Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-01-29D04:24:59.489814800
662000.0,50.0,689500.0,2.0
TimeStamp,2014-01-29D08:46:01.040796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,689500.0,2.0
TimeStamp,2014-01-29D08:46:01.043796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,681000.0,16.0
TimeStamp,2014-01-29D08:46:01.044796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,681000.0,16.0
TimeStamp,2014-01-29D08:46:01.046796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,680000.0,16.0
TimeStamp,2014-01-29D08:46:01.047796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,680000.0,16.0
TimeStamp,2014-01-29D08:46:01.050796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,680000.0,16.0
TimeStamp,2014-01-29D08:46:01.053796000
672000.0,16.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
670500.0,1.0,680000.0,16.0
TimeStamp,2014-01-29D08:46:01.867784000
672000.0,16.0,676000.0,3.0
671500.0,8.0,678000.0,16.0
671000.0,16.0,679000.0,16.0
TimeStamp,2014-01-29D08:49:21.622396000
672000.0,24.0,676000.0,3.0
671000.0,16.0,678000.0,16.0
670500.0,1.0,679000.0,16.0
TimeStamp,2014-01-29D08:49:21.629396000
672000.0,24.0,676000.0,3.0
671000.0,16.0,678000.0,16.0
670500.0,1.0,679000.0,16.0
TimeStamp,2014-01-29D08:49:21.641396000
672000.0,8.0,676000.0,3.0
670500.0,1.0,678000.0,16.0
669000.0,16.0,679000.0,16.0
TimeStamp,2014-01-29D08:49:21.649396000
672000.0,8.0,676000.0,3.0
670500.0,1.0,679000.0,16.0
667500.0,1.0,681000.0,16.0
TimeStamp,2014-01-29D08:49:21.656396000
672000.0,8.0,676000.0,3.0
670500.0,1.0,679000.0,16.0
667500.0,1.0,683000.0,16.0
TimeStamp,2014-01-29D08:49:21.660396000
672000.0,8.0,676000.0,3.0
670500.0,1.0,683000.0,16.0
667500.0,1.0,685000.0,1.0
TimeStamp,2014-01-29D08:50:12.182787800
672000.0,8.0,676000.0,3.0
670500.0,1.0,685000.0,1.0
667500.0,1.0,689500.0,22.0
TimeStamp,2014-01-29D08:51:13.045064000
672000.0,8.0,676000.0,3.0
670500.0,1.0,685000.0,1.0
667500.0,1.0,689500.0,22.0
TimeStamp,2014-01-29D08:51:14.571040000
672000.0,8.0,676000.0,3.0
670500.0,1.0,685000.0,1.0
667500.0,1.0,689500.0,22.0
TimeStamp,2014-01-29D08:51:30.190860000
673500.0,27.0,676000.0,3.0
673000.0,27.0,685000.0,1.0
672000.0,8.0,689500.0,22.0
TimeStamp,2014-01-29D08:51:32.758824000
673500.0,27.0,676000.0,3.0
673000.0,27.0,685000.0,1.0
672000.0,8.0,689500.0,22.0
TimeStamp,2014-01-29D08:51:34.890800000
673500.0,27.0,676000.0,3.0
673000.0,27.0,680500.0,27.0
672000.0,8.0,685000.0,1.0
TimeStamp,2014-01-29D08:51:35.535788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,680500.0,27.0
672000.0,8.0,682500.0,27.0
TimeStamp,2014-01-29D08:51:36.255788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,680500.0,27.0
672000.0,8.0,682500.0,27.0
TimeStamp,2014-01-29D08:51:43.984692000
673500.0,27.0,676000.0,3.0
673000.0,27.0,680500.0,27.0
672000.0,8.0,682500.0,27.0
TimeStamp,2014-01-29D08:52:47.662924000
673500.0,27.0,676000.0,3.0
673000.0,27.0,680500.0,27.0
672000.0,8.0,682500.0,27.0
TimeStamp,2014-01-29D08:53:39.249312000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,680500.0,27.0
TimeStamp,2014-01-29D08:54:03.740012000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,678000.0,23.0
TimeStamp,2014-01-29D08:54:17.864844000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,677000.0,23.0
TimeStamp,2014-01-29D08:54:17.904844000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,677000.0,23.0
TimeStamp,2014-01-29D08:55:33.407944000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,677000.0,23.0
TimeStamp,2014-01-29D08:55:34.371932000
673500.0,27.0,674500.0,16.0
673000.0,27.0,676000.0,3.0
672000.0,8.0,677000.0,23.0
TimeStamp,2014-01-29D08:55:46.255788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,677000.0,23.0
672000.0,8.0,678000.0,23.0
TimeStamp,2014-01-29D08:55:46.297788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,677000.0,16.0
672000.0,8.0,678000.0,23.0
TimeStamp,2014-01-29D08:55:46.299788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,677000.0,16.0
672000.0,8.0,678000.0,14.0
TimeStamp,2014-01-29D08:55:46.337788000
673500.0,27.0,676000.0,3.0
673000.0,27.0,677000.0,23.0
672000.0,8.0,678000.0,14.0
TimeStamp,2014-01-29D08:58:39.410711600
674000.0,1.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,28.0,678000.0,23.0
TimeStamp,2014-01-29D09:00:00.104751600
674000.0,1.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,38.0,677500.0,10.0
TimeStamp,2014-01-29D09:00:00.157751600
674500.0,2.0,676000.0,3.0
674000.0,1.0,677000.0,23.0
673500.0,28.0,677500.0,10.0
TimeStamp,2014-01-29D09:00:00.160751600
674500.0,2.0,676000.0,3.0
674000.0,1.0,677000.0,23.0
673500.0,28.0,677500.0,10.0
TimeStamp,2014-01-29D09:00:00.164751600
674500.0,2.0,676000.0,3.0
674000.0,1.0,677000.0,23.0
673500.0,28.0,677500.0,10.0
TimeStamp,2014-01-29D09:00:01.061739600
674500.0,2.0,676000.0,3.0
674000.0,1.0,677000.0,23.0
673500.0,28.0,677500.0,12.0
TimeStamp,2014-01-29D09:00:05.232691600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,25.0
673000.0,48.0,677500.0,10.0
TimeStamp,2014-01-29D09:00:05.234691600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,25.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:05.234691600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,22.0
TimeStamp,2014-01-29D09:00:05.235691600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,22.0
TimeStamp,2014-01-29D09:00:05.236691600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,22.0
TimeStamp,2014-01-29D09:00:09.234643600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:09.619631600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:09.635631600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.192631600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.208631600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.491619600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.508619600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.792619600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:10.809619600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:11.392610300
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:11.408608700
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,23.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:12.229607600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,38.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:38.495283600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,38.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:38.496283600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,38.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:38.561283600
674000.0,3.0,676000.0,3.0
673500.0,28.0,677000.0,15.0
673000.0,48.0,677500.0,20.0
TimeStamp,2014-01-29D09:00:52.893115600
674000.0,3.0,676000.0,3.0
673500.0,28.0,676500.0,16.0
673000.0,48.0,677000.0,15.0
TimeStamp,2014-01-29D09:00:52.896115600
674000.0,3.0,676000.0,3.0
673500.0,28.0,676500.0,16.0
673000.0,48.0,677000.0,25.0
TimeStamp,2014-01-29D09:00:52.897115600
674000.0,3.0,676000.0,3.0
673500.0,28.0,676500.0,16.0
673000.0,48.0,677000.0,35.0
