Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-01-09D04:21:26.224430600
667500.0,1.0,683000.0,2.0
660000.0,100.0,684500.0,2.0
640000.0,100.0,686000.0,2.0
TimeStamp,2014-01-09D04:21:26.227430600
667500.0,1.0,683000.0,2.0
660000.0,100.0,684500.0,2.0
640000.0,100.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:00.130972200
667500.0,1.0,683000.0,2.0
660000.0,100.0,684500.0,2.0
640000.0,100.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:00.131972200
672500.0,20.0,683000.0,2.0
667500.0,1.0,684500.0,2.0
660000.0,100.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:00.386972200
672500.0,20.0,683000.0,2.0
670000.0,1.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:00.681972200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:05.678912200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:13.972804200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:21.119720200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:21.159720200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:22.069708200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:22.859704100
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:23.439696200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:23.725696200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:27.729648200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:28.653636200
672500.0,20.0,683000.0,2.0
670000.0,2.0,684500.0,2.0
667500.0,1.0,686000.0,2.0
TimeStamp,2014-01-09D08:45:29.796624200
672500.0,20.0,683000.0,2.0
