Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-03-21D08:46:01.072316700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:01.074316700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:01.077316700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:01.926316700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.026307000
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.062306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.067306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.073306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.074306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,90.0
TimeStamp,2014-03-21D08:46:02.295306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:02.773306700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:05.274276700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:05.493276700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:07.878256700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:08.064246700
628000.0,80.0,630000.0,9.0
627500.0,82.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:11.436216700
628000.0,80.0,630000.0,9.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:11.953216300
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:12.373206700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,135.0
TimeStamp,2014-03-21D08:46:12.431206700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:15.590176700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:16.480166700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:16.520166700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:16.912166700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:17.415156700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:19.178136700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:20.485126700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:22.377106700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:23.334096700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:38.325946700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:38.401946700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:41.761916700
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
627000.0,80.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:48.129848200
628000.0,80.0,630000.0,14.0
627500.0,83.0,630500.0,16.0
625500.0,2.0,631500.0,180.0
TimeStamp,2014-03-21D08:46:49.751836700
627500.0,83.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:46:51.661816700
627500.0,4.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:46:56.753766700
627500.0,4.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:46:57.248756700
627500.0,4.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:08.126652500
627500.0,4.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:09.053646700
627500.0,4.0,630000.0,14.0
625500.0,2.0,630500.0,16.0
625000.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:12.165609400
628000.0,10.0,630000.0,14.0
627500.0,4.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:16.742566700
628000.0,10.0,630000.0,14.0
627500.0,4.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:22.065516700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:24.167491600
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:25.689476700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:36.411366700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:39.304336700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:47.048266700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:48.060256700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:47:53.405196700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:03.836096700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:04.872086700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,2.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:16.274971300
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:16.453966700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:18.929946700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:22.659906700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:23.278902200
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:23.427896700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:27.919856700
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:29.302841000
628000.0,10.0,630000.0,14.0
627500.0,5.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:33.634796700
628000.0,10.0,630000.0,14.0
627500.0,6.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:48:51.101626700
628000.0,10.0,630000.0,14.0
627500.0,7.0,630500.0,16.0
625500.0,3.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:13.365403500
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,7.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:16.713366700
630000.0,1.0,630000.0,14.0
629000.0,1.0,630500.0,16.0
628000.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:21.719316700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:28.777246700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:28.783246700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:43.203106700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:49:52.614006700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:01.054926700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:01.790916700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:06.032876700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:11.231826700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:13.003806700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:29.381646700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:30.834626700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:33.726596700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:34.052596700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:46.055476700
630000.0,1.0,630000.0,14.0
629500.0,1.0,630500.0,16.0
629000.0,1.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:54.017396700
630000.0,1.0,630000.0,14.0
628500.0,1.0,630500.0,16.0
628000.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:50:58.299356700
630000.0,1.0,630000.0,14.0
628500.0,1.0,630500.0,16.0
628000.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:05.583284100
630000.0,1.0,630000.0,14.0
628500.0,1.0,630500.0,16.0
628000.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:06.318276700
630000.0,1.0,630000.0,14.0
628500.0,1.0,630500.0,16.0
628000.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:06.877266700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:08.094256700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:09.428246700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:12.754206700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:13.913196700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:15.652179200
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:15.812176700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.126166700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.168166700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.210166700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.663158500
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.705156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:17.746156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.047156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.088156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.129156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.431156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.473156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.514156700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.887146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.931146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:18.973146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:19.454146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:19.496146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:19.537146700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:19.926136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:19.968136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.010136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.360136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.402136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.444136700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
