Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-03-12D04:27:40.719315800
625000.0,20.0,642000.0,20.0
600500.0,5.0,646500.0,2.0
nan,nan,650000.0,1.0
TimeStamp,2014-03-12D05:22:39.912379000
625000.0,20.0,642000.0,20.0
600500.0,5.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D05:22:39.912379000
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D04:27:40.722315800
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D05:22:39.934379000
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D04:27:40.722315800
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D05:22:39.934379000
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D04:27:40.722315800
625000.0,20.0,642000.0,20.0
600500.0,10.0,646500.0,2.0
nan,nan,650000.0,2.0
TimeStamp,2014-03-12D08:45:00.482357100
632000.0,2.0,642000.0,20.0
625000.0,20.0,646500.0,2.0
600500.0,10.0,650000.0,2.0
TimeStamp,2014-03-12D08:45:00.580350100
632000.0,2.0,642000.0,20.0
625000.0,20.0,645000.0,90.0
600500.0,10.0,646500.0,2.0
TimeStamp,2014-03-12D08:45:03.658321100
632000.0,2.0,642000.0,20.0
631500.0,1.0,645000.0,90.0
625000.0,20.0,646500.0,2.0
TimeStamp,2014-03-12D08:45:03.733321100
632000.0,2.0,642000.0,20.0
631500.0,1.0,645000.0,90.0
625000.0,20.0,646500.0,2.0
TimeStamp,2014-03-12D08:45:03.878321100
632000.0,2.0,642000.0,20.0
631500.0,1.0,645000.0,90.0
625000.0,20.0,645500.0,1.0
TimeStamp,2014-03-12D08:45:03.948321100
632000.0,2.0,642000.0,20.0
631500.0,1.0,645000.0,90.0
625000.0,20.0,645500.0,1.0
TimeStamp,2014-03-12D08:45:07.636285100
632000.0,2.0,642000.0,20.0
631500.0,2.0,645000.0,90.0
625000.0,20.0,645500.0,1.0
TimeStamp,2014-03-12D08:45:08.056285100
632000.0,2.0,642000.0,20.0
631500.0,2.0,645000.0,90.0
625000.0,20.0,645500.0,1.0
TimeStamp,2014-03-12D08:45:09.065275700
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:15.694212700
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:19.623178600
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:20.643167800
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:23.037149700
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:27.257113700
632000.0,2.0,642000.0,20.0
631500.0,3.0,643000.0,5.0
625000.0,20.0,644000.0,5.0
TimeStamp,2014-03-12D08:45:27.915104700
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:29.985086700
632000.0,2.0,642000.0,20.0
631500.0,3.0,644000.0,5.0
625000.0,20.0,645000.0,90.0
TimeStamp,2014-03-12D08:45:34.254050700
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
631000.0,100.0,644000.0,5.0
TimeStamp,2014-03-12D08:45:39.852996700
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
631000.0,100.0,644000.0,5.0
TimeStamp,2014-03-12D08:45:44.345960700
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
631000.0,100.0,644000.0,5.0
TimeStamp,2014-03-12D08:45:44.455960700
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
631000.0,100.0,644000.0,5.0
TimeStamp,2014-03-12D08:45:44.974951700
632000.0,2.0,640000.0,29.0
631500.0,3.0,642000.0,20.0
631000.0,100.0,643500.0,1.0
TimeStamp,2014-03-12D08:46:00.012816700
634000.0,50.0,640000.0,29.0
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
TimeStamp,2014-03-12D08:46:00.015816700
634000.0,50.0,640000.0,29.0
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
TimeStamp,2014-03-12D08:46:00.017816700
634000.0,50.0,640000.0,29.0
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
TimeStamp,2014-03-12D08:46:00.018816700
634000.0,50.0,640000.0,29.0
632000.0,2.0,642000.0,20.0
631500.0,3.0,643500.0,1.0
